# 两字异形词整理：保留形式<TAB>排除形式
# 依据《第一批异形词整理表》及语料频率人工审定；右侧形式不参与四码顶字竞争。
# 同音但意义有别的词（如 权力/权利、制定/制订、异形/异型）不属异形词，勿加入。
其他	其它
报道	报导
唯一	惟一
年轻	年青
身份	身分
纪念	记念
连接	联接
连接	连结
哎呀	唉呀
订单	定单
模仿	摹仿
撤销	撤消
摩擦	磨擦
踏实	塌实
日元	日圆
糊涂	胡涂
缘故	原故
几率	机率
留恋	留连
流连	留连
滋生	孳生
致辞	致词
启程	起程
稀罕	希罕
磨炼	磨练
掉头	调头
漂流	飘流
热衷	热中
夹克	茄克
漂泊	飘泊
言辞	言词
稀奇	希奇
叮当	丁当
串联	串连
神父	神甫
比画	比划
措辞	措词
抹杀	抹煞
炫目	眩目
扑通	噗通
咔嚓	喀嚓
仓皇	仓惶
螺纹	罗纹
恢宏	恢弘
渔网	鱼网
嬉笑	嘻笑
约莫	约摸
贝斯	贝司
寒战	寒颤
战栗	颤栗
噼啪	劈啪
辞藻	词藻
掉包	调包
缘由	原由
稍微	稍为
晨光	辰光
借口	藉口
执着	执著
作秀	做秀
换挡	换档
唯其	惟其
计时	记时
