rank	char	frequency_weight
5153	摈	8.131470985118075e-07
5154	阆	8.131323685144257e-07
5155	瑭	8.10187070693244e-07
5156	珥	8.081963835111605e-07
5157	钴	8.060872551256394e-07
5158	旸	8.031645032188177e-07
5159	芡	8.010884421743578e-07
5160	蒺	7.972017606505025e-07
5161	埙	7.971837239190145e-07
5162	饴	7.971689939216327e-07
5163	挈	7.971242027051044e-07
5164	恽	7.942050581445801e-07
5165	嶷	7.931957360866352e-07
5166	卅	7.931638711943399e-07
5167	葺	7.922008434138807e-07
5168	瓤	7.90136506244888e-07
5169	沆	7.901202731865489e-07
5170	钹	7.872203678062785e-07
5171	姮	7.872191653575126e-07
5172	苣	7.871007241540751e-07
5173	颞	7.850288716802958e-07
5174	貅	7.841674508205521e-07
5175	珺	7.841388926623628e-07
5176	硼	7.830363808250636e-07
5177	貔	7.771232392683402e-07
5178	椽	7.751827543222315e-07
5179	耄	7.721154079513146e-07
5180	亓	7.68209787859397e-07
5181	鎏	7.681478617479551e-07
5182	岬	7.651938461732208e-07
5183	玠	7.651815210733707e-07
5184	钿	7.641676898325538e-07
5185	唿	7.592187785050555e-07
5186	赭	7.561757817216475e-07
5187	硒	7.540432055851922e-07
5188	毽	7.511252634734338e-07
5189	舢	7.501937999730785e-07
5190	疽	7.501595301832514e-07
5191	轸	7.491784656713043e-07
5192	蠹	7.481372787210639e-07
5193	鲑	7.480951930142588e-07
5194	淝	7.471357725800973e-07
5195	锆	7.471090180950567e-07
5196	嘌	7.460239417648623e-07
5197	俦	7.442136218976583e-07
5198	柁	7.422154194107882e-07
5199	灞	7.411396620585293e-07
5200	侑	7.400741255207802e-07
5201	屐	7.36160990124076e-07
5202	碣	7.361540760436723e-07
5203	蒹	7.360978615638681e-07
5204	鸷	7.351904470388301e-07
5205	貉	7.271817046452017e-07
5206	逶	7.261865113602557e-07
5207	稞	7.261492354485139e-07
5208	柘	7.231717721228454e-07
5209	邶	7.211705635140606e-07
5210	懔	7.202123455286648e-07
5211	馔	7.171768640500434e-07
5212	佤	7.151098213713275e-07
5213	儋	7.131464898986674e-07
5214	醴	7.131230421477331e-07
5215	锒	7.121404745748286e-07
5216	掮	7.101010882177276e-07
5217	炘	7.082068975491045e-07
5218	疝	7.070361467443425e-07
5219	仵	7.061834436381512e-07
5220	糍	7.060656036590967e-07
5221	糨	7.051801338240358e-07
5222	笏	7.051476677073574e-07
5223	倬	7.041741185001969e-07
5224	篾	7.041723148270481e-07
5225	踟	7.041133948375208e-07
5226	疸	7.030535699314096e-07
5227	铱	7.020836280705468e-07
5228	帏	7.011801215039978e-07
5229	媞	7.01173207423594e-07
5230	毐	7.011626859968928e-07
5231	菏	7.000571680376787e-07
5232	椤	6.992074710534022e-07
5233	燏	6.972092685665319e-07
5234	圄	6.971677840841096e-07
5235	骢	6.961692840650575e-07
5236	箓	6.951545509876662e-07
5237	癜	6.940267877262838e-07
5238	鲇	6.931100542233103e-07
5239	鹈	6.930938211649712e-07
5240	逦	6.9119181457937e-07
5241	圩	6.891683606684167e-07
5242	苡	6.891632502611619e-07
5243	茔	6.881890998296184e-07
5244	镝	6.881797808516829e-07
5245	碇	6.880634439335856e-07
5246	齁	6.880174502682914e-07
5247	猗	6.871443055330804e-07
5248	桫	6.862047255035557e-07
5249	璠	6.86197210198769e-07
5250	笤	6.861650446942821e-07
5251	醚	6.860478059396104e-07
5252	嶂	6.851863850798667e-07
5253	傩	6.831596244348073e-07
5254	桁	6.821382778892038e-07
5255	蜊	6.820682352485922e-07
5256	菖	6.811397778701516e-07
5257	蓿	6.811298576678332e-07
5258	溏	6.810357660519044e-07
5259	骓	6.791623176244926e-07
5260	跹	6.78185461683226e-07
5261	衽	6.781172227157632e-07
5262	暝	6.761818481769094e-07
5263	痱	6.760709222782585e-07
5264	狷	6.760610020759401e-07
5265	楹	6.751400600022861e-07
