# 简码指定：跨唯一/多重两表的固顶三码归属（自然码；小鹤按双拼自动换算）。
# 指定字在该码位越过读音权重递补直接固顶并压制其他候选；唯一简字表直接
# 预约同码。被顶替的字落到其四码完整码；指定字保留自身其他自然简码。
# 编码通常取该字当前完整码（双拼+首选辅码）的前缀；也允许刻意的非前缀
# 记忆码覆盖（如 政 vgh），此时按指定码原样固顶。
# 格式：字符	编码
喂	wzd
右	ybn
己	jiv
政	vgh
