# 次级简码：同码追加的低优先级简快码（自然码）。
# 这些条目只进入多重简字表，追加在现有同码条目之后（次选位置），
# 不占用唯一简码分配；同时视为已覆盖，会抑制该字被前缀匹配到的
# 其他自动分配简码（如「加」取 jw 后自动让出 jws）。
# 格式：字符\t编码
加	jw
梨	lix
黎	lixp
