MOHU_SEMANTIC_VOCAB_V1	-54.98945863124541	18.024222593849125
恐	652
哥	653
床	654
麻	655
号	656
势	657
旅	658
探	659
森	660
龙	661
节	662
急	663
喔	664
修	665
桌	666
毫	667
艾	668
担	669
险	670
元	671
千	672
温	673
城	674
背	675
联	676
妻	677
领	678
举	679
止	680
料	681
份	682
护	683
责	684
首	685
预	686
娜	687
馆	688
七	689
模	690
杰	691
莫	692
妮	693
俩	694
礼	695
游	696
暗	697
足	698
午	699
释	700
仍	701
激	702
虑	703
块	704
统	705
笔	706
承	707
歌	708
标	709
称	710
独	711
读	712
药	713
封	714
局	715
折	716
灵	717
犯	718
纸	719
忍	720
咱	721
秘	722
赶	723
玛	724
阵	725
补	726
质	727
华	728
展	729
研	730
泥	731
般	732
设	733
丈	734
推	735
厅	736
食	737
迷	738
瑞	739
景	740
谢	741
青	742
卧	743
餐	744
艺	745
印	746
托	747
排	748
圣	749
费	750
谋	751
功	752
板	753
督	754
破	755
野	756
共	757
毛	758
皮	759
斗	760
油	761
击	762
型	763
置	764
忘	765
器	766
资	767
集	768
跑	769
乱	770
飞	771
划	772
买	773
藏	774
围	775
血	776
居	777
验	778
田	779
众	780
欧	781
剧	782
座	783
判	784
弟	785
例	786
凯	787
阳	788
述	789
沃	790
赖	791
球	792
境	793
参	794
套	795
贵	796
李	797
遇	798
爸	799
妇	800
富	801
香	802
群	803
凶	804
蒙	805
充	806
呀	807
妹	808
团	809
耳	810
效	811
朗	812
牠	813
压	814
叶	815
乔	816
北	817
遗	818
戏	819
木	820
园	821
靠	822
怜	823
树	824
际	825
岁	826
束	827
萝	828
投	829
呼	830
袋	831
吸	832
习	833
律	834
较	835
松	836
遍	837
鲁	838
梦	839
闻	840
志	841
困	842
朱	843
优	844
劳	845
鬼	846
按	847
仅	848
跳	849
贝	850
醒	851
旧	852
船	853
吉	854
昨	855
策	856
初	857
顶	858
塞	859
付	860
招	861
罢	862
烈	863
养	864
规	865
左	866
抱	867
悲	868
恨	869
坚	870
若	871
懂	872
碰	873
沙	874
介	875
土	876
堂	877
顺	878
蒂	879
救	880
寻	881
职	882
厌	883
派	884
蛋	885
拟	886
施	887
属	888
速	889
夏	890
苏	891
戴	892
偷	893
缺	894
征	895
右	896
猜	897
莎	898
挺	899
专	900
庭	901
顾	902
镜	903
架	904
杯	905
端	906
村	907
灯	908
啦	909
狂	910
替	911
敦	912
码	913
抓	914
换	915
骂	916
摆	917
误	918
隐	919
休	920
择	921
迪	922
纪	923
私	924
妙	925
黄	926
评	927
河	928
级	929
负	930
武	931
肩	932
拍	933
康	934
哭	935
刀	936
瑟	937
课	938
守	939
枪	940
汉	941
散	942
败	943
宝	944
杂	945
惑	946
舞	947
盯	948
危	949
疯	950
帕	951
智	952
登	953
脱	954
闪	955
曲	956
追	957
兵	958
麦	959
呆	960
绪	961
宁	962
唐	963
佛	964
赞	965
党	966
亡	967
雅	968
采	969
素	970
仁	971
眉	972
卖	973
供	974
熟	975
组	976
滴	977
归	978
偏	979
彭	980
源	981
编	982
户	983
测	984
踏	985
京	986
烟	987
尚	988
毒	989
叹	990
状	991
项	992
附	993
曼	994
透	995
创	996
获	997
词	998
怒	999
糊	1000
胜	1001
耸	1002
广	1003
巧	1004
敬	1005
府	1006
喊	1007
唯	1008
轮	1009
梅	1010
茶	1011
拜	1012
皇	1013
镇	1014
牙	1015
汤	1016
冒	1017
彼	1018
壁	1019
善	1020
仔	1021
街	1022
敌	1023
借	1024
泰	1025
降	1026
伴	1027
率	1028
良	1029
短	1030
抽	1031
摸	1032
逃	1033
抬	1034
淡	1035
免	1036
黎	1037
菠	1038
耐	1039
控	1040
暴	1041
刺	1042
层	1043
典	1044
票	1045
齐	1046
财	1047
乡	1048
尊	1049
含	1050
限	1051
岛	1052
监	1053
魔	1054
悄	1055
吓	1056
傻	1057
略	1058
瞧	1059
亨	1060
胡	1061
牛	1062
匆	1063
宗	1064
椅	1065
虚	1066
吻	1067
纯	1068
弹	1069
逆	1070
毕	1071
郎	1072
坦	1073
墙	1074
聪	1075
银	1076
洋	1077
洗	1078
退	1079
构	1080
洲	1081
肉	1082
挂	1083
股	1084
抗	1085
缓	1086
仆	1087
忆	1088
咬	1089
租	1090
愉	1091
卫	1092
舒	1093
货	1094
琳	1095
盖	1096
描	1097
翻	1098
魂	1099
混	1100
渐	1101
搞	1102
唱	1103
菲	1104
防	1105
堆	1106
递	1107
鱼	1108
狠	1109
迎	1110
配	1111
网	1112
审	1113
赏	1114
稍	1115
禁	1116
亦	1117
闹	1118
雨	1119
范	1120
忽	1121
避	1122
草	1123
惯	1124
执	1125
环	1126
盘	1127
阴	1128
撒	1129
超	1130
勇	1131
蓝	1132
惠	1133
挑	1134
震	1135
临	1136
菜	1137
骑	1138
迹	1139
忠	1140
尸	1141
鲜	1142
恼	1143
彻	1144
尖	1145
粗	1146
仿	1147
拔	1148
漂	1149
冰	1150
奶	1151
浪	1152
爷	1153
灰	1154
载	1155
厚	1156
练	1157
愤	1158
升	1159
耶	1160
躺	1161
劲	1162
育	1163
弃	1164
益	1165
谓	1166
侦	1167
梯	1168
诚	1169
副	1170
检	1171
移	1172
挥	1173
辆	1174
腰	1175
丧	1176
讶	1177
掌	1178
偶	1179
遭	1180
丢	1181
箱	1182
铁	1183
婆	1184
兄	1185
批	1186
闷	1187
尾	1188
隔	1189
巨	1190
骨	1191
丁	1192
丹	1193
扎	1194
牌	1195
柔	1196
春	1197
厉	1198
搜	1199
拥	1200
陷	1201
猛	1202
翰	1203
末	1204
彩	1205
狗	1206
攻	1207
徒	1208
倾	1209
赛	1210
余	1211
糟	1212
孔	1213
雪	1214
忧	1215
宫	1216
迟	1217
颗	1218
敲	1219
烧	1220
技	1221
瞪	1222
江	1223
赫	1224
织	1225
阶	1226
肃	1227
伸	1228
努	1229
济	1230
勃	1231
健	1232
奈	1233
符	1234
鼓	1235
录	1236
抵	1237
营	1238
版	1239
饰	1240
鞋	1241
庄	1242
圈	1243
尤	1244
陪	1245
瓦	1246
冈	1247
季	1248
骗	1249
盛	1250
互	1251
著	1252
漫	1253
粹	1254
姓	1255
毁	1256
占	1257
欣	1258
搭	1259
汽	1260
迫	1261
凡	1262
绍	1263
委	1264
殖	1265
协	1266
宾	1267
瓶	1268
霍	1269
谷	1270
既	1271
凭	1272
估	1273
皱	1274
迈	1275
插	1276
灭	1277
针	1278
浮	1279
宣	1280
慰	1281
喃	1282
卷	1283
抖	1284
荒	1285
桥	1286
闭	1287
童	1288
秀	1289
哀	1290
蠢	1291
欲	1292
聊	1293
积	1294
詹	1295
滑	1296
陆	1297
促	1298
磨	1299
珠	1300
农	1301
锁	1302
刑	1303
材	1304
奋	1305
稳	1306
藤	1307
荣	1308
弱	1309
剩	1310
甲	1311
惧	1312
哲	1313
泪	1314
触	1315
省	1316
洞	1317
宽	1318
君	1319
腿	1320
陈	1321
侯	1322
醉	1323
摩	1324
奏	1325
逼	1326
搬	1327
盟	1328
签	1329
孤	1330
焦	1331
怨	1332
晨	1333
貌	1334
聚	1335
射	1336
伟	1337
固	1338
乘	1339
狱	1340
延	1341
泽	1342
姿	1343
佩	1344
雄	1345
啡	1346
猫	1347
仪	1348
圆	1349
厨	1350
倪	1351
库	1352
恋	1353
隆	1354
邀	1355
叔	1356
番	1357
键	1358
踪	1359
吵	1360
唇	1361
幕	1362
宜	1363
增	1364
沿	1365
享	1366
惜	1367
绿	1368
仓	1369
敏	1370
洁	1371
硬	1372
减	1373
羊	1374
迅	1375
扮	1376
砍	1377
珍	1378
苍	1379
序	1380
杜	1381
鼻	1382
埋	1383
逊	1384
辞	1385
残	1386
瘦	1387
详	1388
币	1389
幻	1390
剑	1391
拒	1392
暂	1393
娅	1394
祖	1395
鸟	1396
寄	1397
咖	1398
穷	1399
氏	1400
胸	1401
纹	1402
闲	1403
葛	1404
膀	1405
革	1406
谎	1407
糕	1408
侧	1409
阻	1410
云	1411
柯	1412
幅	1413
姻	1414
舅	1415
销	1416
辛	1417
践	1418
仰	1419
腊	1420
乌	1421
企	1422
捕	1423
歉	1424
访	1425
疾	1426
邮	1427
训	1428
篇	1429
愚	1430
戈	1431
辩	1432
昏	1433
尝	1434
启	1435
括	1436
粉	1437
途	1438
玉	1439
庆	1440
净	1441
岸	1442
娶	1443
晓	1444
遮	1445
邦	1446
患	1447
缘	1448
蜜	1449
款	1450
嗓	1451
胆	1452
冬	1453
扰	1454
廷	1455
豪	1456
丑	1457
牢	1458
邪	1459
翼	1460
染	1461
软	1462
喂	1463
豫	1464
惨	1465
鸡	1466
额	1467
悔	1468
零	1469
幽	1470
吞	1471
吕	1472
纷	1473
屈	1474
墓	1475
绕	1476
扬	1477
扭	1478
舍	1479
吖	1480
颜	1481
损	1482
兹	1483
寒	1484
拾	1485
奔	1486
牲	1487
筑	1488
睁	1489
脏	1490
酷	1491
腻	1492
龄	1493
芬	1494
径	1495
碎	1496
炉	1497
吹	1498
俗	1499
操	1500
厂	1501
凝	1502
州	1503
豆	1504
席	1505
慎	1506
眨	1507
爆	1508
亿	1509
蛮	1510
嫁	1511
剪	1512
卢	1513
县	1514
慌	1515
瓜	1516
臂	1517
乏	1518
谅	1519
献	1520
奖	1521
逐	1522
涨	1523
廊	1524
疗	1525
傲	1526
仇	1527
扫	1528
颤	1529
拖	1530
啥	1531
秋	1532
撞	1533
诸	1534
铺	1535
恰	1536
凉	1537
殊	1538
猪	1539
伏	1540
昂	1541
浓	1542
钢	1543
灾	1544
订	1545
佐	1546
涂	1547
陌	1548
缩	1549
忌	1550
堡	1551
夺	1552
抢	1553
申	1554
伍	1555
址	1556
伪	1557
悉	1558
析	1559
贾	1560
扇	1561
眠	1562
累	1563
匙	1564
爬	1565
泛	1566
盾	1567
崇	1568
厄	1569
剥	1570
辑	1571
丰	1572
核	1573
截	1574
辈	1575
盒	1576
惹	1577
扔	1578
祝	1579
询	1580
盗	1581
牵	1582
措	1583
牧	1584
糖	1585
匹	1586
璃	1587
潮	1588
贺	1589
绳	1590
钻	1591
拼	1592
胖	1593
恢	1594
呐	1595
裂	1596
锐	1597
钥	1598
慧	1599
披	1600
晃	1601
湖	1602
撕	1603
辣	1604
壮	1605
咯	1606
允	1607
棋	1608
赢	1609
孙	1610
挣	1611
颇	1612
抹	1613
弥	1614
沟	1615
紫	1616
祸	1617
玻	1618
井	1619
匿	1620
陀	1621
柏	1622
戒	1623
郑	1624
劝	1625
症	1626
坎	1627
竭	1628
娃	1629
揭	1630
捡	1631
川	1632
夹	1633
笨	1634
氛	1635
吐	1636
喘	1637
港	1638
杨	1639
挨	1640
叙	1641
卜	1642
薄	1643
歇	1644
饮	1645
芙	1646
帽	1647
甜	1648
嘲	1649
嘱	1650
渴	1651
映	1652
荡	1653
废	1654
筒	1655
胁	1656
徐	1657
账	1658
羞	1659
寺	1660
输	1661
誓	1662
郁	1663
桩	1664
贴	1665
页	1666
宰	1667
役	1668
怖	1669
津	1670
硕	1671
弯	1672
汇	1673
购	1674
锅	1675
域	1676
湿	1677
驶	1678
疼	1679
脾	1680
予	1681
塌	1682
挡	1683
邻	1684
肥	1685
横	1686
诱	1687
裤	1688
陶	1689
雕	1690
